id,client_id,user_id,program_id,portfolio_id,event_type,session_id,duration_seconds,occurred_at
0005521c-df5d-4000-b70c-d87939b3523c,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-11-13 16:53:31.529082+00
0047ffaf-f0e3-470a-95c1-58505f8d3048,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-08-14 14:17:12.2246+00
005de8d8-a70b-4fbd-a1fa-11fbc04323fe,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2026-01-22 16:09:05.386008+00
00a028ff-5c34-4de7-bf05-b4f0316e6c07,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-06-18 20:30:45.702068+00
00cc294c-0d24-4832-80bd-500569165b3e,c1ea2000-0000-0000-0000-000000000001,,,,session_start,,,2025-03-13 02:21:11.571433+00
00e31403-93f7-4077-b397-501d47868bc2,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-08-13 07:24:01.659821+00
00ec0eb5-8f31-46a1-8990-fb2384169dc8,c1ea2000-0000-0000-0000-000000000001,,,,session_start,,,2026-03-21 09:32:23.928758+00
01239cb8-1e43-4e35-9cee-bcc7155a209a,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-07-28 05:38:24.63528+00
01444641-8e07-4d64-93a3-5ee97ec74efb,c1ea2000-0000-0000-0000-000000000001,,,,session_start,,,2025-08-14 14:12:50.0286+00
014d6453-9658-47b4-806b-222e37aca35f,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2026-03-01 03:25:07.86998+00
015098b0-7702-4e0c-981f-4ce13c62d23e,c1ea2000-0000-0000-0000-000000000001,,,,session_start,,,2026-01-05 07:34:37.896644+00
016452ed-8977-4edb-84a8-3d963e00586e,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-09-16 10:09:37.234685+00
01a686df-ac33-4e79-a084-6572ec0ed830,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-08-24 19:44:06.118279+00
01ac7d79-0261-4c43-99d8-4bed6fbebaa0,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-05-30 09:52:16.613382+00
01b2e6e6-4593-4060-944e-5337c9af62fc,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2026-01-23 23:42:03.855565+00
01be2265-ded6-4278-ba37-3ac8a58185b5,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-06-10 00:12:27.334317+00
01c83908-bb13-4778-9c36-1dde47b6bf29,c1ea2000-0000-0000-0000-000000000001,,,,session_start,,,2025-05-17 09:27:19.950722+00
01d3e94a-af17-4a00-a94b-35a740f0b6b3,c1ea2000-0000-0000-0000-000000000001,,,,session_start,,,2025-12-03 01:25:42.916079+00
01de23fa-6670-4698-96ec-53258d7d909d,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-10-22 09:47:29.944606+00
01ec9c44-96bc-421c-b3ba-8599fbf1973c,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-03-06 12:55:39.064811+00
01f41d98-6129-4c5d-ac05-9b4a2c4c3395,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-11-08 23:49:45.746348+00
01f4ce07-39e9-45c7-836d-bd412c814b32,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2026-02-02 19:39:33.258289+00
0202bbe0-4bd4-4c5f-be17-78fb99fef0ea,c1ea2000-0000-0000-0000-000000000001,,,,session_start,,,2025-09-18 17:31:53.376096+00
0226d83d-0aa2-4bd0-b896-3b1c1c4e2495,c1ea2000-0000-0000-0000-000000000001,,,,session_start,,,2026-01-23 03:09:21.878943+00
02556392-851e-4d3a-835b-7cc425b20b14,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2026-02-21 02:02:48.702908+00
025addac-44e2-462d-a328-563d2161deb0,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-10-08 19:10:43.050859+00
02644faf-f779-450a-9b2a-7f53d035ec4c,c1ea2000-0000-0000-0000-000000000001,,,,login,,,2025-12-08 21:21:23.74373+00
027039e9-0d08-426d-b919-41ccd457eb06,c1ea2000-0000-0000-0000-000000000001,,,,session_start,,,2025-06-09 16:40:06.393861+00
