id,scraper_version,created_at,updated_at,processed,zip_code,available_nationwide,utility_company,service_territory,program_name,program_category,program_type,program_level,consumer_rebate,funding_source,administrator,product_category,items,technologies,incentive_amount,maximum_amount,incentive_description,percent_value,percent_cap_min,percent_cap_max,per_unit_amount,max_units,financing_apr,financing_max_amount,financing_term_months,bill_credit_amount,bill_credit_duration,incentive_narrative,bonus_amount,bonus_percent,bonus_condition,average_savings,program_budget,project_cost_cap,recipient,income_limits,low_income_eligible,moderate_income_eligible,high_income_eligible,special_requirements,energy_audit_required,building_type,customer_type,eligibility_summary,application_process,application_url,contractor_required,instant_rebate_available,free_products_included,start_date,end_date,currently_active,program_url,source_page,additional_information,contact_email,contact_phone,program_details,notes,technical_details,source,state,incentive_format,unit_type,bill_credit_period,tax_exemption_type,image_url,image_urls,normalized_category,segment,portfolio,is_featured,seo_meta,faq_data,iq_context,image_focal_points,category_tag,category_filter,status,stackable_with_rebates,related_program_ids,while_funds_last,hide_related_incentives
00c31bf6-2b5f-4a65-9973-98aecd192b90,1.0,2026-02-04 13:40:51.918043+00,2026-03-24 23:13:05.388755+00,true,77494,true,U.S. Department of Agriculture,U.S. Department of Agriculture Service Territory,USDA - Rural Energy for America Program (REAP) Grants,Financial Incentive,Grant Program,Federal,,,U.S. Department of Agriculture,Solar,"Geothermal Electric, Solar Photovoltaics, Wind (All), Biomass, Hydrogen","Geothermal Electric, Solar Photovoltaics, Wind (All), Biomass, Hydrogen, Solar Water Heat, Solar Space Heat, Solar Thermal Electric, Hydroelectric, Geothermal Heat Pumps, Combined Heat & Power, Tidal, Wave, Ocean Thermal, Wind (Small), Hydroelectric (Small), Geothermal Direct-Use, Anaerobic Digestion, Fuel Cells using Renewable Fuels, Microturbines",,,"Note: The U.S. Department of Agriculture's Rural Development issues periodic Notices of Solicitation of Applications for the Rural Energy for America Program (REAP) in the Federal Register. The Rural Energy for America Program (REAP) provides financial assistance to agricultural producers and rural small businesses in America to purchase, install, and construct renewable energy systems, make energy efficiency improvements to non-residential buildings and facilities, use renewable technologies that reduce energy consumption, and participate in energy audits and renewable energy development assistance. Grants are limited to 25% of a proposed project's cost. Loan guarantees may not exceed $25 million. The combined amount of a grant and loan guarantee must be at least $5,000 (with the grant portion at least $1,500) and may not exceed 75% of the project's cost. Application due dates are published annually in the Notice of Funding Availability.",25.00,,,,,,,,,,"Grant and loan guarantee financing available; combined grant+guarantee must be at least $5,000 (grant at least $1,500) and may not exceed 75% of project cost. Loan guarantee cap typically $25,000,000; program dedicates a portion of funds to small grants ($20,000 or less).",,,,,,,"Business, Agricultural",,,,,,,,"Commercial, Agricultural",,Contact the program administrator or visit the program website to apply. Review eligibility requirements before starting your project. Application due dates are published annually in the Notice of Funding Availability.,,,,,2003-01-01,,true,http://www.rd.usda.gov/reap,http://programs.dsireusa.org/system/program/detail/917,,webmaster@rurdev.usda.gov,(202) 690-4730,,"Renewable Grants: up to $1 million. Efficiency Grants: up to $500,000. Loan and Grant Combination: Grant portion must exceed $1,500. Maximum: 25% of cost for most projects. Grants and guaranteed loans generally available to small businesses and agricultural producers; applicants must demonstrate sufficient revenue to cover operations, maintenance, and any debt service. Last updated: 2024-08-28.",,,,dollar_amount,,,,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/incentive-images/00c31bf6-2b5f-4a65-9973-98aecd192b90.jpg?t=1774393985328,,Solar,"[""Commercial"",""Industrial""]","[""Distributed Energy Resources""]",false,,,,,,,draft,false,[],false,false
013734c9-9a05-42c6-9e4a-9649c9480a32,1.0,2026-02-04 17:16:42.151156+00,2026-03-24 23:01:38.646407+00,true,90001,true,Southern California Edison,Southern California Edison (SCE) Company,Southern California Edison Commercial Ice Machines Rebate,Commercial Food Service,Special Pricing,,,,,Commercial Food Service,All,,75.00,,Special Pricing: $75 on Commercial Ice Machines,,,,,,,,,,,,,,,,,,Customers,,,,true,,false,New Construction,Commercial,,Purchase through participating retailers to receive instant rebate at point of sale. Visit program website for list of participating retailers.,,,true,,2023-01-01,2026-01-01,true,https://caenergywise.com/instant-rebates/,https://caenergywise.com/instant-rebates/,,heddy@energy-solution.com,(714) 787-1098,,,,,,dollar_amount,,,,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/incentive-images/013734c9-9a05-42c6-9e4a-9649c9480a32.jpg?t=1774393298548,,Appliances,"[""Commercial""]","[""Energy Efficiency""]",false,,,,,,,draft,false,[],false,false
01ffb2ec-463c-4b80-8896-733ab7f75bb8,1.0,2026-02-04 13:40:40.732301+00,2026-03-24 23:12:53.173334+00,true,77494,true,U.S. Internal Revenue Service,Federal Service Territory,Renewable Electricity Production Tax Credit (PTC),Financial Incentive,Corporate Tax Credit,Federal,,,U.S. Internal Revenue Service,Other,"Geothermal Electric, Solar Thermal Electric, Solar Photovoltaics, Wind (All), Wind (Small), Offshore Wind, Hydroelectric, Municipal Solid Waste, Landfill Gas, Tidal, Wave, Ocean Thermal, Hydroelectric (Small)","Geothermal Electric, Solar Thermal Electric, Solar Photovoltaics, Wind (All), Wind (Small), Offshore Wind, Hydroelectric, Municipal Solid Waste, Landfill Gas, Tidal, Wave, Ocean Thermal, Hydroelectric (Small)",,,"The federal renewable electricity production tax credit (PTC) is an inflation-adjusted per-kilowatt-hour (kWh) tax credit for electricity generated by qualified energy resources and sold by the taxpayer to an unrelated person during the taxable year. The duration of the credit is 10 years after the date the facility is placed in service. Systems commencing construction on or after 2022 and meeting labor requirements, and systems under 1 MW: Wind, Closed-Loop Biomass, Solar, Geothermal: $0.0275/kWh. Other eligible technologies: $0.015/kWh. Systems over 1 MW commencing construction on or after 2022 and NOT meeting labor requirements: Wind, Closed-Loop Biomass, Solar, Geothermal: $0.0055/kWh. Other eligible technologies: $0.003/kWh. Applies to first 10 years of operation. Note: The One Big Beautiful Bill made significant changes; solar and wind must be placed in service by 2027-12-31 or construction commence by 2026-07-04. Executive Order (2025-07-07) and related guidance affect eligibility and foreign assistance restrictions.",,,,0.0275,,,,,,,,,,,,,,"Business, Industrial Facility",,,,,None specified,,,"Commercial, Industrial",,Contact the program administrator or visit the program website to apply. Review eligibility requirements before starting your project.,,,,,2002-03-11,,true,https://www.energy.gov/eere/solar/federal-solar-tax-credits-businesses,http://programs.dsireusa.org/system/program/detail/734,,,(800) 829-1040,,"Systems commencing construction on or after 2022 and meeting labor requirements, and systems under 1 MW: Wind, Closed-Loop Biomass, Solar, Geothermal: $0.0275/kWh; Other eligible technologies: $0.015/kWh. Systems over 1 MW not meeting labor requirements: Wind/Closed-Loop Biomass/Solar/Geothermal: $0.0055/kWh; Other: $0.003/kWh. Maximum Incentive: None specified. Carryover provisions: Unused credits may be carried forward for up to 20 years or carried back 1 year. Last updated: 2025-07-18.",,,,dollar_amount,,,,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/incentive-images/01ffb2ec-463c-4b80-8896-733ab7f75bb8.jpg?t=1774393973105,,,"[""Commercial"",""Industrial""]",,false,,,,,,,draft,false,[],false,false
04ee6434-a3c8-426c-a33a-478fe894cbff,1.0,2026-02-04 17:09:54.382712+00,2026-03-24 22:46:22.77246+00,true,90001,true,Los Angeles Department of Water & Power (LADWP),Los Angeles Department of Water & Power (LADWP),Los Angeles Department of Water & Power (LADWP) Heat Pump Water Heaters Rebate,Water Heaters,Rebate,,,,,Water Heaters,55 Gallons or Less,,2500.00,,Rebate: $2500 on Heat Pump Water Heaters,,,,,,,,,,,,,,,,,,Customers,,,,true,,false,,Residential,,Submit rebate application after purchase. Visit program website for application form and requirements.,,,,,2023-09-01,,true,http://www.ladwp.com/crp,http://www.ladwp.com/crp,,felix.murguia@ladwp.com,213-367-5168,,,,,,dollar_amount,,,,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/incentive-images/04ee6434-a3c8-426c-a33a-478fe894cbff.jpg?t=1774392382501,,Water Heaters,"[""Residential""]","[""Energy Efficiency"",""Building Electrification""]",false,,,,,,,draft,false,[],false,false
0848439e-dd94-4e78-95ef-67c614b463dc,1.0,2026-02-04 17:10:33.572421+00,2026-03-24 22:50:13.65877+00,true,90001,true,Los Angeles Department of Water & Power (LADWP),Los Angeles Department of Water & Power (LADWP),Los Angeles Department of Water & Power (LADWP) Central Air Conditioners Rebate,Heating & Cooling,Rebate,,,,,Heating & Cooling,All,,,120.00,Rebate: $100-$120 Per Ton on Central Air Conditioners,,,,100.0000,,,,,,,,,,,,,,Customers,,,,true,,false,,Residential,,Submit rebate application after purchase. Visit program website for application form and requirements.,,,,,2024-01-01,,true,http://www.ladwp.com/crp,http://www.ladwp.com/crp,,felix.murguia@ladwp.com,213-367-5168,,,,,,dollar_amount,,,,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/incentive-images/0848439e-dd94-4e78-95ef-67c614b463dc.jpg?t=1774392613455,,HVAC,"[""Residential""]","[""Energy Efficiency"",""Building Electrification""]",false,,,,,,,draft,false,[],false,false
08516353-842a-41c0-9de5-5b051f839851,1.0,2026-02-17 17:21:19.269764+00,2026-03-24 22:55:48.449554+00,true,10001,,Con Edison,Con Edison Service Territory,Homes With Clean Heating - Federal,Weatherization,,,,,,Insulation and Air Sealing,,,1200.00,,"Federal $1,200 for Single-Family",,,,,,,,,,,,,,,,,,,,,,,,,,Residential,Homes with clean heating (geothermal or air-source heat pumps). Building Type: Single-Family.,Visit the official program website to learn about eligibility requirements and submit your application.,,,,,,,,,https://www.coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-residential-customers/savings-to-weatherize-your-home,https://cdnc-dcxprod2-sitecore.azureedge.net/-/media/files/coned/documents/save-energy-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-residential-customers/weatherization/program-summary-translation.pdf,,,,Row labeled 'FEDERAL' in the Homes With Clean Heating table.,,Con Edison,NY,dollar_amount,,,,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/incentive-images/08516353-842a-41c0-9de5-5b051f839851.jpg?t=1774392948378,,Weatherization,"[""Residential""]","[""Energy Efficiency""]",false,,,,,,,draft,false,[],false,false
0879014b-7991-4ccc-8a84-deec14500170,1.0,2026-02-04 15:10:08.284668+00,2026-03-24 22:59:37.593189+00,true,77494,true,Texas State Programs,Texas Statewide,Light-Duty Motor Vehicle Purchase or Lease Incentive Program,Financial Incentive,Rebate Program,State,,,Texas Commission on Environmental Quality,,"Passenger Electric Vehicles, Hydrogen fuel cell vehicles, Compressed natural gas vehicles, Propane (liquefied petroleum gas) vehicles, Plug-in hybrid vehicles, Conversion systems for CNG or propane","Passenger Electric Vehicles, Hydrogen fuel cell, Compressed Natural Gas, Propane, Plug-in Hybrid, Conversion Systems",,,"The Light-Duty Motor Vehicle Purchase or Lease Incentive Program (LDPLIP) provides rebates across the state to people who purchase or lease new light-duty motor vehicles powered by a hydrogen fuel cell, compressed natural gas, liquefied petroleum gas (propane), or other electric drive (such as plug-in or plug-in hybrid), along with conversion systems for compressed natural gas or propane. For more information and instructions on how to apply, visit the program website.",,,,,,,,,,,,,,,,,,"Business, Local Government, Nonprofit Organization, Homeowner, Educational Institution, Institutional",,,,,Must meet program-specific vehicle and conversion system eligibility; see program website for details.,,,"Commercial, Local Government, Nonprofit, Residential, Schools, Institutional",,Contact the program administrator or visit the program website to apply. Review eligibility requirements before starting your project.,,,,,2021-06-19,,true,https://www.tceq.texas.gov/airquality/terp/ld.html/,http://programs.dsireusa.org/system/program/detail/22241,,,(512) 239-1000,,Incentive amount: Varies. Last updated: 2025-05-20.,,,,dollar_amount,,,,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/incentive-images/0879014b-7991-4ccc-8a84-deec14500170.jpg?t=1774393177495,,,"[""Commercial"",""Government"",""Residential""]",,false,,,,,,,draft,false,[],false,false
0966f508-d625-4982-a64d-8f7472d16b1d,1.0,2026-02-18 15:44:39.25191+00,2026-03-24 22:54:39.937543+00,true,10001,,Con Edison,Con Edison Service Territory,Common Area Lighting (Affordable Housing) - LED Lamps and Fixtures,,,Multifamily,,,,Lighting,"Tube lamps, screw-in lamps, interior fixtures, LED exit signs",,,,Tube lamps: $8 per lamp; Screw-in lamps: $5 per lamp; Interior fixtures: $45 per fixture; LED exit signs: $8 per sign (affordable housing),,,,8.0000,,,,,,,,,,,,,Affordable housing incentives cannot exceed 85% of project cost,,,,,,Lighting products must be ENERGY STAR or DLC listed.,,,Commercial,,Visit the official program website to learn about eligibility requirements and submit your application.,,,,,,,,,https://cdnc-dcxprod2-sitecore.azureedge.net/-/media/files/coned/documents/save-energy-money/rebates-incentives-tax-credits/rebates-incentives-for-multifamily-customers/program-incentives.pdf?rev=b525f8cc16364724bf46e340dceb9e92&hash=1847E4D795BF94A9B2F770EF5E1A9E94,,,,,Market rate lighting is through Instant Lighting Incentive Program/Neighborhood Program; not listed here.,,Con Edison,NY,per_unit,unit,,,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/incentive-images/0966f508-d625-4982-a64d-8f7472d16b1d.jpg?t=1774392879841,,Lighting,"[""Commercial""]","[""Energy Efficiency""]",false,,,,,,,draft,false,[],false,false
0a0a0b74-2a70-4f33-bf74-386353cd65f1,1.0,2026-02-18 15:44:30.050245+00,2026-03-24 23:11:23.055456+00,true,10001,,Con Edison,Con Edison Service Territory,Multifamily Energy Efficiency Program (MFEEP) - Building Envelope: Wall Insulation,,,Multifamily,,,,Insulation,Wall Insulation,,,,$180 per MMBtu for wall insulation,,,,180.0000,,,,,,,,,,,,,,,,,,,,,,Commercial,,Visit the official program website to learn about eligibility requirements and submit your application.,,,,,,,,,https://cdnc-dcxprod2-sitecore.azureedge.net/-/media/files/coned/documents/save-energy-money/rebates-incentives-tax-credits/rebates-incentives-for-multifamily-customers/program-incentives.pdf?rev=b525f8cc16364724bf46e340dceb9e92&hash=1847E4D795BF94A9B2F770EF5E1A9E94,,,,,,,Con Edison,NY,per_unit,mmbtu,,,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/incentive-images/0a0a0b74-2a70-4f33-bf74-386353cd65f1.jpg?t=1774393882906,,Weatherization,"[""Commercial""]","[""Energy Efficiency""]",false,,,,,,,draft,false,[],false,false
0a44b917-dce7-4e29-866d-0eda82d2e04c,1.0,2026-02-18 15:44:25.628577+00,2026-03-24 22:49:51.267047+00,true,10001,,Con Edison,Con Edison Service Territory,Multifamily Energy Efficiency Program (MFEEP) - Condensing Boilers,,,Multifamily,,,,Boilers,Condensing Boilers,,,,"$7 per MBH for condensing boilers meeting Et or AFUE of 90% (<2,500 kBtu/h) or 93% Ec (>2,500 kBtu/h) for market rate buildings",,,,7.0000,,,,,,,,,,,,,MFEEP incentives capped at 70% of project cost,,,,,,,,,Commercial,"Market rate multifamily; condensing boilers meeting 90% Et/AFUE (<2,500 kBtu/h) or 93% Ec (>2,500 kBtu/h).",Visit the official program website to learn about eligibility requirements and submit your application.,,,,,,,,,https://cdnc-dcxprod2-sitecore.azureedge.net/-/media/files/coned/documents/save-energy-money/rebates-incentives-tax-credits/rebates-incentives-for-multifamily-customers/program-incentives.pdf?rev=b525f8cc16364724bf46e340dceb9e92&hash=1847E4D795BF94A9B2F770EF5E1A9E94,,,,,,,Con Edison,NY,per_unit,other,,,https://dqjjxkmjutejpdajbouy.supabase.co/storage/v1/object/public/brand-assets/incentive-images/0a44b917-dce7-4e29-866d-0eda82d2e04c.jpg?t=1774392591190,,,"[""Commercial""]",,false,,,,,,,draft,false,[],false,false
